method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
outconst,BK_32b,True,0.1,,False,0.086,0.088,268049747.033,268756286.455,14.485,14.464,536845568,536861841,20.7341646519999,0.442435775451951
outconst,KS_32b,False,0.01,,False,0.005,0.005,16866700.308,16620475.947,12.521,12.507,33552775,33551236,10.0498353920011,0.812834224598931
outconst,KS_32b,True,0.01,,False,0.005,0.005,16866700.308,16620475.947,12.521,12.507,33552775,33551236,15.8791287029999,0.411764705882353
outconst,KS_32b,False,0.05,,False,0.044,0.044,135117239.21,134634764.144,14.023,14.021,268386034,268424636,8.18133940400003,0.792207792207792
outconst,KS_32b,True,0.05,,False,0.044,0.044,135117239.21,134634764.144,14.023,14.021,268386034,268424636,16.3919970860006,0.364400305576776
outconst,KS_32b,False,0.1,,False,0.086,0.086,267460524.791,269464520.087,14.516,14.523,536814064,536860092,7.56747285100028,0.78533231474408
outconst,KS_32b,True,0.1,,False,0.086,0.086,267460524.791,269464520.087,14.516,14.523,536814064,536860092,14.9109351799998,0.359052711993889
outconst,DTree,False,0.25,,False,0.218,0.209,0.218,0.209,0.218,0.209,1,1,3.83464573799574,0.946661237785016
outconst,DTree,True,0.25,,False,0.218,0.209,0.218,0.209,0.218,0.209,1,1,5.5591431310022,0.910016286644951
outconst,DTree,False,0.5,,False,0.446,0.443,0.673,0.677,0.446,0.443,2,2,20.0717999650078,0.803338762214984
outconst,DTree,True,0.5,,False,0.446,0.443,0.673,0.677,0.446,0.443,2,2,36.0680339120008,0.750814332247557
outconst,barshift_128b,False,0.25,,False,0.237,0.243,2.12389305372913E+037,2.03663324923675E+037,62.349,62.844,4.25189573071124E+037,4.24600992637555E+037,945.791786293994,0.348155973876297
outconst,barshift_128b,True,0.25,,False,0.237,0.243,2.12389305372913E+037,2.03663324923675E+037,62.349,62.844,4.25189573071124E+037,4.24600992637555E+037,124.573846995001,0.189684978870534
outconst,barshift_128b,False,0.5,,False,0.4,0.409,4.34535609380901E+037,4.11999467936494E+037,62.871,63.334,8.50121580617113E+037,8.47544337644825E+037,1069.892081054,0.286784479446792
