method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
decision_tree,square_64b,False,,3,True,0.663,0.797,1.46380092694463E+037,1.74139419947417E+037,32.67,60.522,5.59981138282941E+037,4.40002367573286E+037,12.4235770639998,0.0340880961048416
decision_tree,square_64b,True,,3,False,0.396,0.349,2.08575488475717E+037,1.70446368573153E+037,47.275,58.957,1.39212667289266E+038,6.78426854644207E+037,12.8579613729999,0.00811066618128868
decision_tree,square_64b,True,,3,True,0.663,0.796,1.46373405763556E+037,1.74102964520767E+037,32.824,60.348,5.60188830157283E+037,4.40001961925094E+037,13.2527206840005,0.0342773935202039
decision_tree,square_64b,False,,5,False,0.422,0.512,1.62579010449807E+037,1.59292291734171E+037,33.637,60.043,1.27773706790755E+038,6.50777166576362E+037,13.1852182459998,0.0593665817255187
decision_tree,square_64b,False,,5,True,0.383,0.777,1.21797695262145E+037,2.45707930679942E+037,15.879,62.826,4.71876337813606E+037,1.13854364897957E+038,14.612967651,0.123800509646888
decision_tree,square_64b,True,,5,False,0.428,1.133,1.62362445910997E+037,1.59268915114855E+037,33.637,59.348,1.27773706790755E+038,6.50777166576362E+037,14.475838798,0.0568765926465235
decision_tree,square_64b,True,,5,True,0.355,0.521,1.28863590978212E+037,1.91823694770849E+037,15.637,62.739,4.51937417105282E+037,1.09684436389313E+038,16.6049316950002,0.123349108117947
decision_tree,square_64b,False,,8,False,0.11,0.538,3.33700509160337E+036,1.65571540158818E+037,11.835,59.174,4.75752100334261E+037,4.79568342286539E+037,17.6264326949995,0.198805970149254
decision_tree,square_64b,False,,8,True,0.289,1.708,1.18762189420925E+037,2.04842079617991E+037,11.934,62.435,5.58326034042788E+037,1.34717232074572E+038,14.2486326549997,0.149894430287586
decision_tree,square_64b,True,,8,False,0.055,1.33,3.75995374197776E+036,1.70035665834613E+037,10.407,60.478,5.99369377149562E+037,4.79568342286539E+037,21.6944791510005,0.192384419366582
decision_tree,square_64b,True,,8,True,0.243,2.106,1.04233364570456E+037,2.21276096207543E+037,11.813,62.217,4.51937524855583E+037,1.403664535965E+038,18.2639125280002,0.149530396796505
decision_tree,BK_32b,False,,3,False,0.266,0.262,841495101.482,830634989.347,15.647,15.88,2904221181,2810316937,2.77852109500054,0.237868696479543
decision_tree,BK_32b,False,,3,True,0.478,0.48,1513963960.281,1528074740.09,15.502,16.134,5170124753,5023469533,3.06378982800015,0.686964795432921
decision_tree,BK_32b,True,,3,False,0.266,0.262,841495101.482,830634989.347,15.647,15.88,2904221181,2810316937,3.02098931899945,0.237868696479543
decision_tree,BK_32b,True,,3,True,0.478,0.48,1513963960.281,1528074740.09,15.502,16.134,5170124753,5023469533,3.47690483299994,0.666032350142721
decision_tree,BK_32b,False,,5,False,0.121,0.119,365235392.176,371036740.759,14.969,15.457,1435697187,1383979551,2.71818153000004,1.28163653663178
decision_tree,BK_32b,False,,5,True,0.426,0.444,1360039290.456,1411704560.975,14.401,15.534,4680624796,4567425995,7.41463018899958,3.31208372978116
decision_tree,BK_32b,True,,5,False,0.121,0.119,365235392.176,371036740.759,14.969,15.457,1435697187,1383979551,3.21801783200044,1.23120837297812
decision_tree,BK_32b,True,,5,True,0.426,0.444,1360039290.456,1411704560.975,14.401,15.534,4680624796,4567425995,8.55809642999975,3.33967649857279
decision_tree,BK_32b,False,,8,False,0.043,0.046,136318857.108,144710485.675,13.663,14.973,2223340663,2182356513,12.9304947810006,8.09324452901998
decision_tree,BK_32b,False,,8,True,0.384,0.44,1203293286.125,1401752232.574,11.505,14.616,4434280342,4366551905,58.3853007520002,24.2863939105614
decision_tree,BK_32b,True,,8,False,0.043,0.046,136318857.108,144710485.675,13.663,14.973,2223340663,2182356513,14.9083527399998,7.97431018078021
decision_tree,BK_32b,True,,8,True,0.384,0.44,1203184534.016,1401715802.983,11.504,14.615,4434280342,4365503329,68.7486570430001,24.2711703139867
decision_tree,fwrdk2j,False,,3,False,2496259.47,335894.95,4.62671931974164E+018,4.69933858042761E+018,24.692,24.75,2.14817368312209E+019,2.14814644511078E+019,6.27774282399969,0.00672405159875057
decision_tree,fwrdk2j,False,,3,True,22949936.243,13119639.51,4.29623185099784E+018,4.69932449433938E+018,22.315,26.531,2.14840001696665E+019,2.14788465746072E+019,6.32566263300032,0.0208159469706002
